Thermochronology Colombia
0.72	0.66
0.74	0.61
0.77	0.51
0.79	0.61
0.9	0.2
1.24	0.71
1.5	0.1
1.57	0.79
1.6	0.8
1.6	0.4
2.3	0.6
2.3	0.8
2.35	0.58
2.36	0.35
2.4	0.7
2.54	0.68
2.56	0.24
2.6	0.3
2.6	0.5
2.6	1.1
2.62	0.21
2.62	0.21
2.7	0.3
2.7	0.7
2.8	0.4
2.8	0.4
2.88	0.26
2.97	0.53
3.07	0.73
3.3	0.69
3.5	0.3
3.59	3.11
3.6	0.81
3.9	0.6
3.9	0.3
3.91	3.84
4	0.8
4.2	0.5
4.31	0.86
4.4	0.8
4.5	0.3
4.5	0.4
4.5	1.1
4.5	2.65
4.6	0.4
4.6	2.31
4.85	1.12
5	0.6
5.03	3.79
5.04	3.72
5.08	0.14
5.37	4.11
5.4	0.09
5.42	0.18
5.5	1
5.51	0.69
5.57	1.29
5.6	0.4
5.66	2.32
5.76	3.23
5.9	0.4
6	4.3
6.1	0.6
6.1	0.7
6.1	0.4
6.2	0.4
6.22	1.28
6.5	0.9
6.54	2.94
6.7	0.05
6.7	0.6
6.75	0.06
6.81	0.04
6.84	0.89
6.9	1.2
7	3.1
7.1	1.2
7.3	1
7.3	1.1
7.36	0.14
7.41	0.4
7.42	1.22
7.5	0.5
7.59	0.16
7.6	0.9
7.9	1.15
10.8	2.1
13.4	1.4
8.5	1.5
9.99	0.07
10	0.067
10.016	0.068
11.1	1.1
12.4	1.5
13.6	0.7
14.2	2.6
14.2	2.6
8.6	1.05
9.8	2.2
14.3	2
9.3	0.8
10.1	1.3
11.9	0.5
12.1	0.5
10.7	1.2
11.07	0.7
11.102	0.069
11.112	0.07
13.9	2.4
13.0634731	0.747379196
14.17692015	0.534810701
10.51	0.25
9.6	0.5
9.8	0.2
11	1.4
11.9	0.6
10.17	0.41
10.44	0.23
14.11	0.97
9.2	2
10.1	2.1
10.1	2.3
10.2	1.2
11	3.2
11.1	1.5
11.2	1.4
11.7	2.3
11.8	1.8
12.1	1.5
12.2	1.6
13.6	12.3
13.9	2.3
13.9	7.3
8.21	1.2
9.3	0.5
10.6	0.8
13.7	2.2
